Date,Open,High,Low,Close,Adj Close,Volume
2018-08-24,289.440002,300.339996,289.440002,297.950012,287.309021,680900
2018-08-27,299.000000,300.000000,295.440002,297.890015,287.251160,452900
2018-08-28,298.500000,299.790009,293.049988,299.429993,288.736176,419200
2018-08-29,301.309998,305.339996,300.070007,300.640015,289.902893,402300
2018-08-30,300.000000,302.089996,299.290009,300.670013,289.931885,216500
2018-08-31,300.910004,302.000000,297.000000,298.559998,287.897247,360700
2018-09-04,298.899994,299.660004,295.950012,296.600006,286.007172,418000
2018-09-05,297.029999,297.119995,288.750000,289.809998,279.459747,540400
2018-09-06,290.260010,292.850006,287.480011,290.529999,280.153961,649600
2018-09-07,289.079987,297.190002,289.079987,294.070007,283.567535,294100
2018-09-10,295.350006,296.089996,293.049988,293.779999,283.287933,342900
2018-09-11,292.269989,293.899994,286.170013,286.619995,276.383606,404500
2018-09-12,286.350006,287.160004,283.010010,285.239990,275.052887,511800
2018-09-13,286.000000,286.179993,281.859985,284.839996,275.197845,277200
2018-09-14,285.950012,285.950012,278.640015,280.049988,270.569977,738900
2018-09-17,278.899994,279.260010,273.630005,274.600006,265.304504,709900
2018-09-18,274.320007,284.510010,274.299988,281.809998,272.270416,637300
2018-09-19,281.989990,281.989990,277.750000,279.470001,270.009705,465600
2018-09-20,281.880005,283.619995,278.950012,282.709991,273.139893,611400
2018-09-21,283.850006,289.489990,283.720001,286.220001,276.531128,871100
2018-09-24,285.489990,290.000000,282.420013,288.989990,279.207336,587500
2018-09-25,289.570007,293.500000,289.500000,290.790009,280.946442,662300
2018-09-26,290.899994,292.470001,286.230011,289.179993,279.390961,413400
2018-09-27,291.670013,293.929993,289.970001,293.450012,283.516418,514500
2018-09-28,293.209991,297.559998,292.880005,294.799988,284.820740,409000
2018-10-01,296.859985,296.859985,284.760010,285.519989,275.854919,476500
2018-10-02,286.859985,286.859985,281.130005,282.279999,272.724518,290800
2018-10-03,284.000000,287.190002,281.910004,286.000000,276.318634,344500
2018-10-04,283.609985,287.329987,280.279999,281.769989,272.231720,389600
2018-10-05,282.709991,285.529999,279.119995,282.910004,273.333160,338100
2018-10-08,280.299988,282.290009,275.489990,280.239990,270.753601,343500
2018-10-09,281.839996,288.640015,277.570007,284.179993,274.560150,366800
2018-10-10,284.179993,285.760010,274.269989,274.920013,265.613708,613400
2018-10-11,273.559998,278.059998,267.420013,270.880005,261.710449,679300
2018-10-12,275.459991,280.950012,272.559998,277.339996,267.951721,583400
2018-10-15,277.899994,279.859985,272.279999,272.940002,263.700684,961000
2018-10-16,264.799988,267.649994,257.200012,259.630005,250.841248,2390800
2018-10-17,261.339996,268.399994,255.080002,267.690002,258.628357,963100
2018-10-18,266.239990,268.679993,260.250000,266.380005,257.362762,823400
2018-10-19,265.929993,270.980011,262.790009,267.750000,258.686371,798300
2018-10-22,268.190002,272.000000,267.329987,267.750000,258.686371,943300
2018-10-23,265.000000,266.500000,262.029999,265.820007,256.821716,592800
2018-10-24,265.690002,265.809998,254.899994,255.490005,246.841400,552900
2018-10-25,256.779999,263.070007,254.479996,261.769989,252.908752,538900
2018-10-26,257.959991,262.709991,253.020004,261.239990,252.396698,550100
2018-10-29,264.410004,268.269989,254.410004,256.489990,247.807526,572400
2018-10-30,255.000000,266.790009,253.699997,266.230011,257.217896,811100
2018-10-31,270.000000,273.260010,265.809998,268.790009,259.691132,698100
2018-11-01,267.850006,269.839996,261.489990,266.049988,257.043854,506800
2018-11-02,267.760010,272.079987,261.329987,265.299988,256.319275,538500
2018-11-05,263.799988,266.029999,259.239990,260.260010,251.449860,551600
2018-11-06,260.260010,268.630005,260.260010,263.559998,254.638199,561700
2018-11-07,264.649994,272.070007,263.579987,271.470001,262.280426,559300
2018-11-08,269.570007,276.500000,269.570007,273.149994,263.903534,487700
2018-11-09,273.179993,274.950012,269.959991,274.350006,265.062988,402600
2018-11-12,273.329987,274.450012,266.880005,269.089996,259.980988,416100
2018-11-13,269.959991,272.859985,263.470001,264.709991,255.749298,357100
2018-11-14,267.410004,270.720001,264.179993,266.119995,257.111511,392100
2018-11-15,264.209991,264.989990,257.000000,259.619995,250.831573,629500
2018-11-16,257.070007,270.070007,257.070007,264.619995,255.662369,1112900
2018-11-19,263.619995,265.519989,249.520004,252.070007,243.537140,791500
2018-11-20,246.889999,255.559998,241.699997,255.220001,246.580521,890100
2018-11-21,256.000000,264.000000,254.619995,259.589996,250.802597,527400
2018-11-23,258.119995,265.359985,258.119995,262.500000,253.614120,195100
2018-11-26,266.160004,269.350006,264.239990,266.359985,257.343414,609400
2018-11-27,266.440002,270.480011,265.269989,268.579987,259.488251,480000
2018-11-28,270.059998,274.720001,269.140015,273.799988,264.531555,374100
2018-11-29,272.519989,282.399994,270.670013,280.179993,270.695618,552800
2018-11-30,280.329987,282.209991,277.000000,277.320007,267.932343,599700
2018-12-03,282.440002,284.700012,276.320007,276.359985,267.004913,508000
2018-12-04,277.040009,278.019989,263.140015,266.019989,257.014893,566700
2018-12-06,263.000000,266.809998,256.619995,266.399994,257.382111,688500
2018-12-07,264.600006,267.440002,257.109985,258.320007,249.575592,432000
2018-12-10,255.919998,256.750000,248.089996,255.210007,246.570862,598300
2018-12-11,259.059998,259.059998,249.449997,252.000000,243.469528,574100
2018-12-12,255.080002,255.919998,248.779999,249.679993,241.228043,640400
2018-12-13,249.160004,253.809998,248.500000,250.160004,242.225388,510600
2018-12-14,247.839996,252.839996,245.039993,249.009995,241.111862,528100
2018-12-17,247.190002,247.190002,238.820007,242.190002,234.508179,609100
2018-12-18,243.050003,245.679993,238.500000,244.649994,236.890121,633500
2018-12-19,243.770004,247.699997,236.759995,239.380005,231.787323,483400
2018-12-20,238.550003,241.580002,231.279999,235.389999,227.923859,769100
2018-12-21,238.009995,245.660004,236.250000,239.490005,231.893829,1032800
2018-12-24,236.729996,239.149994,232.440002,234.350006,226.916870,249200
2018-12-26,234.690002,249.000000,234.690002,248.910004,241.015045,413100
2018-12-27,243.179993,248.600006,241.210007,248.470001,240.588989,413000
2018-12-28,249.979996,252.979996,246.869995,249.949997,242.022018,404200
2018-12-31,252.139999,254.470001,246.470001,247.990005,240.124222,443200
2019-01-02,245.589996,245.589996,240.240005,243.300003,235.582993,444700
2019-01-03,242.750000,244.539993,239.070007,239.690002,232.087494,596600
2019-01-04,242.190002,245.360001,239.360001,243.600006,235.873459,405100
2019-01-07,244.369995,251.949997,242.009995,246.429993,238.613693,567700
2019-01-08,249.110001,249.820007,238.479996,242.210007,234.527542,785000
2019-01-09,241.880005,251.350006,241.880005,246.589996,238.768585,713200
2019-01-10,245.509995,249.419998,244.119995,246.190002,238.381287,470200
2019-01-11,246.979996,251.949997,246.630005,248.990005,241.092514,432600
2019-01-14,248.070007,248.070007,243.000000,244.169998,236.425385,665900
2019-01-15,244.380005,249.669998,242.869995,247.889999,240.027374,582500
2019-01-16,247.710007,250.229996,244.020004,246.850006,239.020401,476400
2019-01-17,244.669998,258.950012,243.500000,258.940002,250.726913,1406500
2019-01-18,265.589996,268.000000,260.459991,267.459991,258.976654,1210800
2019-01-22,265.380005,267.850006,261.190002,263.429993,255.074463,1193100
2019-01-23,266.070007,273.369995,264.019989,273.160004,264.495880,649800
2019-01-24,273.910004,279.149994,270.519989,276.880005,268.097900,985200
2019-01-25,280.260010,284.910004,279.000000,284.160004,275.146973,910100
2019-01-28,281.739990,282.570007,275.230011,279.790009,270.915619,749000
2019-01-29,278.739990,278.989990,272.859985,274.850006,266.132263,673000
2019-01-30,276.850006,281.609985,275.070007,277.059998,268.272156,599000
2019-01-31,276.359985,285.000000,275.470001,283.730011,274.730621,717500
2019-02-01,281.920013,284.480011,277.600006,278.390015,269.559937,683000
2019-02-04,278.170013,281.450012,278.109985,281.070007,272.154968,519900
2019-02-05,281.149994,289.579987,281.149994,289.290009,280.114227,498400
2019-02-06,290.000000,296.570007,286.750000,287.890015,278.758667,633700
2019-02-07,286.839996,289.440002,282.459991,288.890015,279.726929,374800
2019-02-08,286.390015,292.359985,286.220001,290.160004,280.956635,575400
2019-02-11,291.179993,295.519989,289.510010,294.859985,285.507568,623100
2019-02-12,295.899994,297.160004,286.570007,287.209991,278.100250,729300
2019-02-13,287.720001,289.790009,284.260010,288.799988,279.639740,474300
2019-02-14,286.630005,291.779999,285.859985,287.179993,278.071167,871800
2019-02-15,288.079987,289.640015,279.350006,281.649994,272.716583,823400
2019-02-19,280.089996,281.640015,275.700012,279.230011,270.373383,930400
2019-02-20,279.690002,280.480011,276.329987,278.489990,269.656830,1056200
2019-02-21,261.480011,262.399994,250.020004,253.009995,244.984985,3877500
2019-02-22,252.199997,262.899994,252.199997,260.709991,252.440735,1785000
2019-02-25,261.869995,262.309998,253.580002,255.940002,247.822052,1231700
2019-02-26,255.960007,257.899994,252.029999,252.809998,244.791336,997500
2019-02-27,251.479996,255.130005,251.179993,252.509995,244.500839,568200
2019-02-28,251.869995,252.720001,247.960007,250.940002,242.980606,1047100
2019-03-01,253.119995,253.699997,245.869995,250.729996,242.777313,781200
2019-03-04,250.770004,252.500000,245.009995,248.570007,240.685806,776300
2019-03-05,249.910004,252.649994,247.550003,249.330002,241.421692,586900
2019-03-06,249.669998,251.149994,247.429993,248.600006,240.714890,538400
2019-03-07,248.889999,249.039993,245.570007,247.940002,240.075775,454700
2019-03-08,245.960007,250.610001,245.240005,250.520004,242.573959,744800
2019-03-11,250.820007,251.139999,245.259995,246.990005,239.155930,879400
2019-03-12,247.440002,247.559998,239.940002,240.000000,232.387665,1264300
2019-03-13,241.979996,248.089996,240.369995,245.369995,237.587326,922500
2019-03-14,245.500000,248.080002,242.399994,247.250000,240.043564,692600
2019-03-15,247.860001,248.009995,243.210007,244.270004,237.150421,1038100
2019-03-18,244.800003,247.990005,240.570007,243.410004,236.315460,1068200
2019-03-19,249.500000,250.860001,244.919998,248.759995,241.509552,1329500
2019-03-20,248.610001,248.630005,241.929993,243.940002,236.830063,637400
2019-03-21,244.029999,247.710007,244.029999,245.050003,237.907715,705700
2019-03-22,243.399994,245.000000,239.169998,239.250000,232.276749,847900
2019-03-25,239.520004,244.300003,239.309998,242.559998,235.490265,685700
2019-03-26,244.380005,245.720001,242.919998,245.399994,238.247452,682300
2019-03-27,244.809998,249.479996,244.809998,247.580002,240.363953,575200
2019-03-28,247.350006,254.160004,244.949997,253.919998,246.519150,905000
2019-03-29,255.000000,260.510010,254.169998,258.100006,250.577362,1111800
2019-04-01,258.709991,259.260010,249.440002,249.449997,242.179428,1333500
2019-04-02,250.000000,250.710007,244.929993,245.220001,238.072739,1088300
2019-04-03,247.960007,253.800003,244.740005,253.110001,245.732803,1004900
2019-04-04,254.119995,254.369995,246.250000,248.940002,241.684311,774600
2019-04-05,249.830002,254.580002,248.009995,254.559998,247.140488,884300
2019-04-08,253.669998,254.449997,246.699997,247.500000,240.286270,813200
2019-04-09,246.559998,249.169998,246.300003,247.830002,240.606659,851500
2019-04-10,249.000000,249.539993,246.500000,248.940002,241.684311,791600
2019-04-11,250.330002,257.989990,250.289993,255.550003,248.101654,1137500
2019-04-12,256.690002,259.940002,253.660004,257.609985,250.101593,838800
2019-04-15,256.250000,259.470001,251.119995,258.899994,251.354004,695400
2019-04-16,259.869995,261.739990,252.779999,255.339996,247.897766,861500
2019-04-17,263.000000,267.920013,261.529999,265.250000,257.518951,1590600
2019-04-18,266.630005,270.850006,266.079987,267.609985,259.810120,972000
2019-04-22,267.809998,268.670013,265.299988,266.000000,258.247131,1747700
2019-04-23,267.000000,271.640015,266.619995,270.200012,262.324646,1743900
2019-04-24,287.000000,302.049988,281.119995,283.420013,275.159424,3793200
2019-04-25,282.279999,282.459991,271.609985,276.450012,268.392456,1355300
2019-04-26,276.450012,279.390015,272.730011,273.429993,265.460510,606600
2019-04-29,273.429993,273.790009,265.339996,268.869995,261.033417,823000
2019-04-30,269.510010,273.239990,268.750000,270.579987,262.693604,717600
2019-05-01,271.000000,274.660004,270.109985,271.459991,263.547943,429500
2019-05-02,270.779999,274.470001,270.600006,274.320007,266.324646,557600
2019-05-03,276.559998,280.429993,274.299988,279.750000,271.596252,761000
2019-05-06,274.510010,283.869995,274.459991,282.019989,273.800110,576300
2019-05-07,279.459991,281.540009,275.369995,277.390015,269.305084,573800
2019-05-08,276.100006,283.910004,275.329987,283.149994,274.897247,527100
2019-05-09,280.559998,283.500000,278.279999,282.160004,273.936066,621800
2019-05-10,281.049988,284.440002,275.079987,278.369995,270.256531,711000
2019-05-13,273.299988,274.119995,264.989990,273.880005,265.897369,750600
2019-05-14,273.619995,275.489990,271.079987,272.859985,264.907104,449200
2019-05-15,272.000000,278.000000,270.260010,276.670013,268.606110,335300
2019-05-16,278.200012,281.220001,275.670013,277.839996,269.742004,449900
2019-05-17,276.630005,282.359985,275.140015,281.250000,273.052643,500000
